epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,3677.81,0.14231,0.12047,0.77805,0.86571,0.84258,0.89997,0.73767,0.7615,0.69794,1.23215,0.0002575,0.0002575,0.0002575
77,3726.07,0.13789,0.11692,0.77718,0.8718,0.81732,0.89962,0.73914,0.76514,0.71936,1.23893,0.0002476,0.0002476,0.0002476
78,3774.26,0.13749,0.11676,0.77728,0.85656,0.81709,0.8948,0.733,0.76897,0.74876,1.24455,0.0002377,0.0002377,0.0002377
79,3822.91,0.13263,0.11419,0.77632,0.84613,0.83114,0.89039,0.72874,0.77127,0.78156,1.25164,0.0002278,0.0002278,0.0002278
80,3871.99,0.12971,0.11192,0.77563,0.86066,0.81261,0.88928,0.72611,0.7685,0.76028,1.2532,0.0002179,0.0002179,0.0002179
81,3920.29,0.12543,0.10869,0.77544,0.85659,0.81058,0.88653,0.72538,0.76887,0.79677,1.24816,0.000208,0.000208,0.000208
82,3968.75,0.12101,0.10594,0.77431,0.8323,0.83096,0.89138,0.72831,0.77015,0.78234,1.25122,0.0001981,0.0001981,0.0001981
83,4017.65,0.11673,0.10342,0.77373,0.84352,0.84021,0.89198,0.73252,0.77066,0.76671,1.25034,0.0001882,0.0001882,0.0001882
84,4066.57,0.11649,0.10207,0.77397,0.8568,0.8433,0.8958,0.73449,0.77137,0.74709,1.24948,0.0001783,0.0001783,0.0001783
85,4115.37,0.11303,0.10045,0.77326,0.87066,0.83316,0.89899,0.73614,0.77003,0.72206,1.25025,0.0001684,0.0001684,0.0001684
86,4164.03,0.11,0.09879,0.77267,0.8734,0.83713,0.90451,0.74128,0.77045,0.70794,1.24973,0.0001585,0.0001585,0.0001585
87,4212.29,0.1058,0.09659,0.77202,0.87335,0.83764,0.90626,0.74109,0.76582,0.7147,1.24146,0.0001486,0.0001486,0.0001486
88,4261.51,0.10501,0.0952,0.77229,0.87424,0.82409,0.90191,0.74012,0.76612,0.71575,1.24521,0.0001387,0.0001387,0.0001387
89,4309.41,0.09893,0.09186,0.77116,0.82288,0.8638,0.90031,0.74023,0.76496,0.73201,1.24255,0.0001288,0.0001288,0.0001288
90,4357.93,0.09542,0.08932,0.77072,0.85361,0.83062,0.89993,0.74214,0.76358,0.73321,1.24469,0.0001189,0.0001189,0.0001189
91,4407.87,0.09547,0.08957,0.77099,0.86161,0.83001,0.89933,0.73785,0.76462,0.74046,1.25012,0.000109,0.000109,0.000109
92,4456.77,0.09176,0.08692,0.77059,0.87331,0.82909,0.90269,0.74182,0.7631,0.73782,1.25049,9.91e-05,9.91e-05,9.91e-05
93,4505.47,0.0884,0.08504,0.77023,0.87608,0.82879,0.90507,0.74199,0.76423,0.73632,1.25674,8.92e-05,8.92e-05,8.92e-05
94,4554.07,0.08433,0.08222,0.7694,0.86667,0.82954,0.90296,0.74149,0.7641,0.74808,1.25823,7.93e-05,7.93e-05,7.93e-05
95,4603.19,0.08163,0.08065,0.76929,0.86552,0.8319,0.90187,0.74123,0.76487,0.74259,1.26069,6.94e-05,6.94e-05,6.94e-05
96,4651.19,0.08004,0.07964,0.76963,0.85792,0.83667,0.90056,0.74106,0.76361,0.74757,1.25789,5.95e-05,5.95e-05,5.95e-05
97,4699.51,0.07833,0.0782,0.7691,0.85339,0.83809,0.90078,0.74011,0.76372,0.7525,1.25896,4.96e-05,4.96e-05,4.96e-05
98,4747.68,0.076,0.07662,0.76879,0.86727,0.82192,0.89837,0.73963,0.76366,0.75554,1.25973,3.97e-05,3.97e-05,3.97e-05
99,4796.33,0.07191,0.07466,0.76844,0.86875,0.81955,0.89844,0.73926,0.76394,0.75951,1.2599,2.98e-05,2.98e-05,2.98e-05
100,4844.98,0.06884,0.07203,0.76839,0.88263,0.80596,0.89959,0.7383,0.76406,0.76123,1.25949,1.99e-05,1.99e-05,1.99e-05
